ID,exerciseName,targetedMuscle,Dynamic stabilizer,Mechanics,Force,generalMuscle,isNeedEquipment,bench,Dumbbell,barbell,stability ball,dip machine,pull-up bar,cable machine,Lower Pectoralis Major,Upper Pectoralis Major,Anterior Deltoid,Triceps Brachii,Tensor Fasciae Latae, Sartorius, Pectineus, Adductor Longus, Adductor Brevis, Rectus Abdominis,Iliopsoas, Rectus Femoris, Quadriceps, Serratus Anterior , Latissimus Dorsi, Pectoralis Minor, Rhomboids, Levator Scapulae, Teres Major,Biceps Brachii, Brachialis, Brachioradialis, Internal and External Obliques, Rectus Abdominis,Infraspinatus, Teres Minor, Lateral Deltoid, Middle and Lower Trapezius,Hamstrings,Adductor Magnus,Gracilis,Obliques, Gluteus Maximus,Supraspinatus,Posterior Deltoid,Pectoralis Major,Quadratus Lumborum,Psoas Major,Iliocastalis Lumborum,Iliocastalis Thoracis,Soleus,Gastrocnemius,Popliteus,Gluteus Medius,Gluteus Minimus,Flexor Carpi Radialis,Anconeus
18,Vertical-leg-crunch,Rectus-Abdominis,null,Isolation,Pull,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Flat-bench-hyperextension,Erector-Spinae,null,Compound,Pull,core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,High-bird-dog-plank,"rector-Spinae,-Internal-and-External-Obliques,-Rectus-Abdominis",null,Compound,Pull,core,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,V-up,Rectus-Abdominis,null,Compound,Pull,core,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Standing-two-Arm-dumbbell-kickback,Triceps-Brachii,null,Isolation,Push,Arm,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Machine-triceps-dip,Triceps-Brachii,null,Compound,Push,Arm,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Chest-dip,Lower-Pectoralis-Major,null,Compound,Push,Arm,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Machine-assisted-chest-dip,Lower-Pectoralis-Major,null,Compound,Push,Arm,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Cable-reverse-wrist-curl,Wrist-Extensors,null,Isolation,Pull,Arm,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Barbell-reverse-wrist-curl-over-bench,Wrist-Extensors,null,Isolation,Pull,Arm,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Cable-reverse-preacher-curl,Brachioradialis,null,Isolation,Pull,Arm,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Dumbbell-one-Arm-reverse-preacher-curl,Brachioradialis,null,Isolation,Pull,Arm,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Close-grip-EZ-bar-curl,Biceps-Brachii,null,Isolation,Pull,Arm,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Lying-high-cable-curl,Brachialis,null,Isolation,Pull,Arm,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Biceps-leg-curl,Brachialis,null,Isolation,Pull,Arm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Side-lying-biceps-bodyweight-curl,Biceps-Brachii,null,Compound,Pull,Arm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Kneeling-bodyweight-triceps-extension,Triceps-Brachii,Biceps-Brachii,Isolation,Push,Arm,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Barbell-skull-crusher,Triceps-Brachii,null,Isolation,Pull,Arm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Barbell-rear-delt-row,Posterior-Deltoid,Biceps-Brachii,Compound,Pull,Shoulders,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Cable-face-pull,Posterior-Deltoid,null,Compound,Pull,Shoulders,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Plate-front-raise,Anterior-Deltoid,null,Isolation,Push,Shoulders,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Seated-dumbbell-front-raise,Anterior-Deltoid,null,Isolation,Push,Shoulders,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Dumbbell-w-press,Anterior-Deltoid,null,Isolation,Push,Shoulders,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Bent-over-barbell-reverse-raise,Posterior-Deltoid,null,Isolation,Pull,Shoulders,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Seated-alternating-dumbbell-front-raise,Anterior-Deltoid,null,Isolation,Push,Shoulders,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dumbbell-lying-external-shoulder-rotation,Infraspinatus,null,Isolation,Pull,Shoulders,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Reverse-dumbbell-fly,Posterior-Deltoid,null,Isolation,Pull,Shoulders,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Cable-one-Arm-front-raise,Anterior-Deltoid,null,Isolation,Push,Shoulders,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Prone-incline-wide-grip-upright-row,Posterior-Deltoid,null,Compound,Pull,Shoulders,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Head-supported-reverse-dumbbell-fly,Posterior-Deltoid,null,Isolation,Pull,Shoulders,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Back-extension-on-stability-ball,Erector-Spinae,null,Isolation,Pull,Back,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Dumbbell-renegade-row,back-in-general,"Biceps-Brachii,-Triceps-Brachii-(long-head)",Compound,Pull,Back,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Side-lying-reverse-dumbbell-fly,Posterior-Deltoid,null,Isolation,Pull,Back,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Straight-back-underhand-cable-row,back-in-general,"Biceps-Brachii,-Triceps-Brachii-(long-head)",Compound,Pull,Back,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
52,Dumbbell-wide-grip-upright-row,Lateral-Deltoid,null,Compound,Pull,Back,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
